Magnet,Start,Duration,Type,RunID
1.5T,401.00690608326073,2.9979268043311764,setup,1
3T,403.7759941529913,4.320092169304729,setup,1
1.5T,404.00483288759193,22.262909827854703,scan,1
1.5T,426.2677427154466,1.8170103532797408,exit,1
1.5T,428.08475306872634,1.1463641700409495,flip,1
1.5T,430.3022074232444,2.0,handover,1
1.5T,432.3022074232444,4.855342497507955,setup,1
1.5T,437.1575499207524,25.92564449283743,scan,1
1.5T,463.0831944135898,2.8215781691939403,exit,1
1.5T,465.9047725827837,0.9107896176385142,flip,1
1.5T,466.8155622004223,2.0,handover,1
1.5T,468.8155622004223,4.714692338927062,setup,1
3T,408.09608632229606,65.70155172706939,scan,1
3T,473.79763804936545,2.536544749049604,exit,1
3T,476.3341827984151,1.5517346818047157,flip,1
3T,477.88591748021986,2.0,handover,1
3T,479.88591748021986,5.1920728319234195,setup,1
1.5T,473.53025453934936,20.612770476630303,scan,1
1.5T,494.1430250159797,1.8647765770636213,exit,1
1.5T,496.00780159304327,0.9443071135579408,flip,1
1.5T,499.97393920418665,2.0,handover,1
1.5T,501.97393920418665,3.285592854645843,setup,1
3T,485.07799031214324,21.09958237069232,scan,1
3T,506.1775726828356,2.1478099772396244,exit,1
3T,508.3253826600752,1.1390150339486902,flip,1
3T,512.1846596482814,2.0,handover,1
3T,514.1846596482814,5.252545733585072,setup,1
1.5T,505.2595320588325,21.831984473987095,scan,1
1.5T,527.0915165328196,1.8172761426644835,exit,1
1.5T,528.908792675484,1.3622801887167046,flip,1
3T,519.4372053818664,24.38775529529632,scan,1
3T,543.8249606771627,3.3357879912566766,exit,1
3T,547.1607486684194,0.9245055958511166,flip,1
1.5T,575.1573970322905,2.0,handover,1
1.5T,577.1573970322905,2.4364659271356413,setup,1
3T,622.6632511343925,2.0,handover,1
3T,624.6632511343925,4.944179616913557,setup,1
1.5T,579.5938629594261,64.35923217383795,scan,1
1.5T,643.9530951332641,1.8930709231538594,exit,1
1.5T,645.846166056418,1.7040278809726752,flip,1
3T,629.607430751306,21.988459660325585,scan,1
