No_Show_Rate,Throughput,Magnet_Idle_Pct
0.0,35,42.95833333333333
0.0,29,45.0
0.0,37,37.708333333333336
0.0,46,15.916666666666668
0.0,33,45.875
0.0,43,27.0
0.0,35,43.833333333333336
0.0,32,46.0
0.0,27,56.166666666666664
0.0,39,28.375
0.0,28,43.708333333333336
0.0,41,23.0
0.0,33,38.25
0.0,45,18.625
0.0,36,35.91666666666667
0.0,35,37.041666666666664
0.0,38,29.25
0.0,31,44.125
0.0,33,42.70833333333333
0.0,36,34.625
0.0,38,26.041666666666668
0.0,38,37.875
0.0,30,45.04166666666667
0.0,42,30.791666666666668
0.0,31,45.166666666666664
0.0,32,41.541666666666664
0.0,33,49.291666666666664
0.0,26,51.79166666666667
0.0,25,58.08333333333333
0.0,37,30.0
0.0,32,36.666666666666664
0.0,32,43.666666666666664
0.0,30,39.58333333333333
0.0,35,36.625
0.0,27,48.791666666666664
0.0,32,41.25
0.0,26,57.291666666666664
0.0,32,54.95833333333333
0.0,25,53.541666666666664
0.0,42,23.166666666666664
0.0,30,41.5
0.0,32,49.125
0.0,36,35.583333333333336
0.0,28,50.66666666666667
0.0,43,24.541666666666668
0.0,29,46.875
0.0,34,36.45833333333333
0.0,28,45.0
0.0,33,45.08333333333333
0.0,42,25.208333333333332
0.0,33,37.541666666666664
0.0,35,37.583333333333336
0.0,26,44.416666666666664
0.0,40,28.083333333333332
0.0,43,21.041666666666668
0.0,41,26.041666666666668
0.0,32,44.458333333333336
0.0,25,60.0
0.0,44,25.416666666666664
0.0,29,52.041666666666664
0.0,40,23.541666666666668
0.0,28,46.291666666666664
0.0,35,39.5
0.0,36,35.25
0.0,31,45.875
0.0,35,38.625
0.0,24,55.791666666666664
0.0,28,52.79166666666667
0.0,33,37.375
0.0,26,52.0
0.0,35,38.0
0.0,30,50.79166666666667
0.0,34,41.125
0.0,41,26.833333333333332
0.0,36,38.625
0.0,36,32.625
0.0,33,41.5
0.0,35,37.708333333333336
0.0,36,31.958333333333332
0.0,37,33.0
0.0,34,40.666666666666664
0.0,40,30.333333333333336
0.0,29,52.541666666666664
0.0,35,40.625
0.0,27,44.083333333333336
0.0,29,48.625
0.0,33,40.08333333333333
0.0,37,29.833333333333336
0.0,34,47.41666666666667
0.0,38,31.833333333333336
0.0,24,61.70833333333333
0.0,30,49.5
0.0,32,47.25
0.0,29,41.41666666666667
0.0,39,34.375
0.0,34,36.875
0.0,36,40.33333333333333
0.0,37,30.666666666666664
0.0,34,36.666666666666664
0.0,37,29.708333333333332
0.0,27,50.33333333333333
0.0,34,45.04166666666667
0.0,24,55.00000000000001
0.0,42,29.125
0.0,38,27.958333333333336
0.0,34,34.541666666666664
0.0,34,32.916666666666664
0.0,38,28.041666666666664
0.0,40,28.916666666666668
0.0,36,34.208333333333336
0.0,34,39.375
0.0,39,31.458333333333332
0.0,38,37.416666666666664
0.0,37,35.16666666666667
0.0,34,35.375
0.0,36,39.29166666666667
0.0,33,36.41666666666667
0.0,30,39.25
0.0,37,38.29166666666667
0.0,28,50.958333333333336
0.05,28,54.125
0.05,22,59.0
0.05,27,45.916666666666664
0.05,25,59.458333333333336
0.05,29,49.625
0.05,22,58.291666666666664
0.05,24,61.375
0.05,27,53.541666666666664
0.05,25,57.833333333333336
0.05,28,53.125
0.05,39,32.458333333333336
0.05,36,30.708333333333332
0.05,27,50.541666666666664
0.05,38,27.083333333333332
0.05,33,42.541666666666664
0.05,30,51.583333333333336
0.05,36,36.666666666666664
0.05,25,55.41666666666667
0.05,26,50.66666666666667
0.05,25,55.875
0.05,31,45.83333333333333
0.05,26,46.833333333333336
0.05,30,51.29166666666667
0.05,22,58.75
0.05,31,46.458333333333336
0.05,34,36.916666666666664
0.05,29,40.875
0.05,33,45.375
0.05,30,46.875
0.05,31,42.375
0.05,29,41.541666666666664
0.05,29,46.708333333333336
0.05,39,32.208333333333336
0.05,28,47.25
0.05,27,51.208333333333336
0.05,37,35.45833333333333
